group	ASD	control	control	ASD	ASD	ASD	ASD	control	ASD	control	control	ASD	ASD	ASD	control
sample	DBYX1FB	DBYX2FB	GCRFB	GJCFB	LQYFB	LXRFB	LYSFB	STFB	TZYFB	XSYFB	YCZFB	ZSXFB	ZYYFB	ZZRFB	ZZXFB
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.63	0.95391	0.96938	0.0	0.0606	1.79511	0.29843	0.00329	0.11128	0.09024	2.98409	0.54329	0.12246	0.06422	0.22526
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.18733	0.07505	0.27079	0.20218	0.28798	0.0	1.00113	0.01219	0.0584	0.0	0.08828	0.32005	0.0	0.0	0.68945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.16676	0.44598	0.56031	0.11265	0.82962	0.59584	0.0	0.12399	0.09008	0.53333	0.30614	0.02239	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.16085	0.20053	0.28254	0.0	0.40335	0.0	0.0	0.76486	0.58651	0.07374	0.10532	0.0	0.0	0.0	1.85859
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.11366	0.0	0.0	0.49185	0.0	0.0	0.0	0.03943	0.0	0.00234	0.0	0.0	0.0	0.01257	0.00967
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.06543	0.03337	0.19262	0.01834	0.25184	0.65626	0.61715	0.09081	0.00444	0.0	0.33541	0.79193	0.0	0.0	0.22067
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.06026	0.03414	0.00149	0.0	0.002	0.0	0.11499	0.00848	0.55706	0.0	0.0	0.00547	0.0	0.0	0.15413
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.03182	0.16441	1.45204	0.05501	0.04513	0.11541	0.07927	0.15215	0.0	0.02947	0.13018	0.1474	0.2153	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	0.01114	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0594	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	0.00875	0.03846	0.0	0.0	0.0	0.0	0.0	0.01096	0.00958	0.0	0.08609	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.00847	0.06632	0.0	0.0	0.00396	0.00076	0.03462	0.0	0.0	0.04042	0.00166	0.00414	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	0.00369	0.01447	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.0	0.0	0.02967
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	0.00127	0.0	0.0	0.0	0.00532	0.0	0.0	0.0	0.0	0.0	0.00609	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	0.00103	0.20042	0.00123	0.0	0.0	0.00971	0.0	0.04759	0.08804	0.0694	0.01223	0.0	0.0184	0.02725	0.13141
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00653	0.0	0.0	0.0	0.0	0.0	0.00074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	24.66953	28.51382	19.39555	13.01809	29.49186	18.46053	41.3582	38.4116	62.50197	40.30046	24.90632	30.26643	30.08124	41.33359	51.71617
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	18.23223	0.0	0.0	0.01008	0.06483	0.1389	0.0	0.06733	0.0	0.35021	0.00232	0.14324	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	15.66089	2.9053	41.75771	12.33081	18.6945	30.58547	23.68274	15.11935	13.28079	1.28065	12.86522	14.96481	1.37178	0.0	14.2691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	11.56451	15.81069	6.66649	1.20637	14.26285	20.58877	5.72093	12.88285	7.18341	18.6825	11.58314	14.59917	1.98057	2.52137	13.07171
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	10.31709	26.82113	7.79411	2.35085	8.07013	2.66961	0.20712	9.52479	2.08609	15.87537	3.36648	5.80558	50.42981	42.53587	3.38532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	5.23749	0.7207	0.06571	0.0	0.43485	0.42709	4.46882	0.0	1.10503	0.56772	0.02248	0.45934	0.13314	0.39145	0.73704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2.8489	3.63092	0.8164	1.59109	2.13747	2.48729	11.54656	1.91524	1.70175	1.04908	2.11416	2.74732	4.32813	3.93305	1.81661
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.34659	0.39781	1.55248	4.20835	6.51098	0.0	0.0	1.57238	0.00833	2.88394	9.88299	3.30336	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2.21109	0.93581	0.29444	0.35115	0.13982	1.82108	0.39122	1.21773	1.76613	3.04951	0.4924	0.3754	1.10874	8.47649	1.26871
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	1.51239	0.3381	0.38751	0.06201	0.36336	6.03973	0.00374	0.4625	0.31191	0.70166	3.06738	0.65106	0.15812	0.16384	0.00409
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1.05225	0.70597	1.88216	0.01708	0.63519	0.12802	0.68569	1.04777	1.33202	0.37509	0.11573	0.38463	0.38314	0.0815	0.19507
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.862	4.21412	0.72489	0.24676	3.3991	0.0	0.10869	1.10119	1.22617	4.58604	13.77174	0.46369	5.98433	0.0	5.80627
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.63	0.95391	0.96938	0.0	0.0606	1.79511	0.29843	0.00329	0.11128	0.09024	2.98409	0.54329	0.12246	0.06422	0.22526
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.62906	4.69836	1.5592	0.48191	1.06408	1.54277	0.54375	4.3978	1.19753	5.04327	0.60641	2.36759	0.12701	0.0	2.21157
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	0.5498	0.07273	1.77675	1.78759	1.42245	1.22011	0.53122	1.76637	0.0	0.19903	1.38072	0.50535	0.23348	0.0	0.9955
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.18733	0.07505	0.27079	0.20218	0.28798	0.0	1.00113	0.01219	0.0584	0.0	0.08828	0.32005	0.0	0.0	0.68945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.16676	0.44548	0.56031	0.11167	0.82634	0.56423	0.0	0.12399	0.09008	0.52831	0.30614	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.16085	0.20053	0.28254	0.0	0.40335	0.0	0.0	0.76486	0.58651	0.07374	0.10532	0.0	0.0	0.0	1.85859
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.11366	0.0	0.0	0.49185	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.00249	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	0.06911	0.7729	0.01057	0.0	0.06469	0.00137	0.09273	0.0248	0.0	0.13642	0.00114	0.0	0.0	0.0	0.16636
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.0685	0.75046	0.00364	0.0086	0.03862	0.0746	0.00881	0.0	0.0	1.41379	0.09531	0.09878	0.0	0.04051	0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.06543	0.03337	0.19262	0.01834	0.25184	0.65626	0.61715	0.09081	0.00444	0.0	0.33541	0.79193	0.0	0.0	0.22067
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0.06026	0.03414	0.00149	0.0	0.002	0.0	0.11499	0.00848	0.55706	0.0	0.0	0.00547	0.0	0.0	0.15413
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.05551	0.00111	0.0	0.0	0.0	0.00082	0.0	0.04838	0.03701	0.0	0.0	0.0	0.00505	0.02937	0.01969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.03182	0.16441	1.45204	0.05501	0.04513	0.11541	0.07927	0.15215	0.0	0.02947	0.13018	0.1474	0.2153	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	0.02588	0.07825	0.21678	0.08506	0.11145	0.13636	0.0	0.00614	0.00571	0.1348	0.12293	0.06199	0.00186	0.0	0.00247
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822	0.01114	0.0	0.0	0.0	0.0	0.0018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0594	0.0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	0.00875	0.03846	0.0	0.0	0.0	0.0	0.0	0.01096	0.00958	0.0	0.08609	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	0.00847	0.06632	0.0	0.0	0.00396	0.00076	0.03462	0.0	0.0	0.04042	0.00166	0.00414	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	0.00369	0.01447	0.0	0.0	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.0	0.0	0.02967
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226	0.00127	0.0	0.0	0.0	0.00532	0.0	0.0	0.0	0.0	0.0	0.00609	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	0.00121	0.09687	0.0	1.15482	0.39064	0.00214	0.02552	0.05908	0.0	0.29186	3.539	0.00037	0.07082	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	0.00103	0.20042	0.00123	0.0	0.0	0.00971	0.0	0.04759	0.08804	0.0694	0.01223	0.0	0.0184	0.02725	0.13141
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00653	0.0	0.0	0.0	0.0	0.0	0.00074
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas	18.23223	0.0	0.0	0.0	0.0	0.1389	0.0	0.0	0.0	0.35021	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	11.48362	11.42767	5.03346	2.15761	7.88417	4.89644	3.31827	14.28855	31.46603	22.74167	10.24628	4.27081	13.87022	10.75515	4.6388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	10.31709	26.82113	7.79411	2.35085	8.07013	2.66961	0.20712	9.52479	2.0486	15.87479	3.36648	5.80558	50.42981	42.5351	3.38532
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	8.39692	1.23742	35.0657	3.1932	6.77682	12.82994	10.0947	15.11935	7.6616	0.97164	9.60657	11.52026	0.43578	0.0	6.89135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	7.96226	11.78732	3.11424	0.11802	7.64763	7.07673	4.47127	8.06104	4.1075	11.376	6.3746	4.78705	0.89846	2.43795	1.26186
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola	7.26397	1.66787	6.69201	9.13761	11.91767	17.75554	13.58805	0.0	5.61919	0.30901	3.25866	3.44455	0.93601	0.0	7.37775
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	4.91964	0.69312	0.06571	0.0	0.06466	0.06945	4.29817	0.0	0.99801	0.55076	0.02248	0.12704	0.0	0.39145	0.68192
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	3.26098	0.30251	1.78153	0.09163	0.74537	0.196	5.9131	2.31164	8.72634	3.03253	1.47972	0.33492	2.86961	0.73581	8.32752
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	2.37944	0.7688	2.67148	0.07258	4.20279	1.97343	0.26319	3.68181	0.86828	6.03986	3.48811	5.79585	0.60308	0.06661	11.12454
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia	2.25359	2.74333	1.08101	1.10676	0.91535	5.24898	3.29557	0.87683	9.45278	1.25438	2.76826	10.93948	0.0	5.08824	9.68604
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	2.20067	0.92755	0.29444	0.35115	0.12449	1.73091	0.39122	1.03785	1.76613	3.04951	0.41268	0.36596	1.10805	8.47649	1.26871
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	1.71548	2.03302	1.52191	0.51032	2.82165	0.86033	0.36307	1.7079	0.0	2.61252	2.65882	1.43993	2.04107	1.3419	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.57109	0.39781	1.55248	4.20835	6.51098	0.0	0.0	1.53918	0.00833	1.58587	9.88299	2.77591	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium	1.4641	1.78165	0.62617	1.40002	1.36329	1.18842	9.31948	0.12894	1.5209	0.11103	0.65147	2.02105	0.4271	1.77958	1.58377
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	1.42921	2.2281	1.15666	0.93671	1.21808	0.76113	1.0423	2.76174	5.66637	1.41881	0.98369	0.92921	2.03051	5.70952	4.26889
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	1.35033	1.11431	0.1375	0.16057	0.591	0.68588	1.72588	1.68451	0.16414	0.8454	0.7717	0.50622	3.89885	2.15347	0.23284
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas	1.32191	0.06498	0.0	0.0	0.50466	0.00913	0.42861	0.06801	1.10532	0.04097	0.0	0.05987	0.06147	0.0	0.01482
