,Shannon,Simpson
C1,4.88120715063487,0.9487978092282
C2,3.75263570298468,0.882584776763695
C3,4.65514701744526,0.931061095159153
C4,4.81020076697825,0.914177486237126
C5,4.98191308716871,0.935628971925833
C6,4.6789627581582,0.935582723255271
C7,4.73305576568156,0.93903184041672
C8,5.23650225527788,0.959415978728824
P1,4.82134975935368,0.934750091882649
P2,3.99988550592497,0.88786943997348
P3,4.05146177424663,0.91840150868896
P4,3.70916563593371,0.862098166427485
P5,4.73043218858784,0.934613757918162
P6,3.23950486092367,0.81529897848136
P7,4.40221503054686,0.929686482076434
P8,4.4462622967785,0.907889547659681
