clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae	0.18546	0.0	0.0	0.0	0.0	0.0	0.03024	0.0	0.0161	0.00106	0.00323	0.0	1.26057	0.0	0.0	0.16612
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae	0.15682	0.0	0.0	4.94854	4.64358	0.0	0.06568	0.01481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.50537
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.14753	0.0	1.14673	0.0	0.0	0.31404	0.0	0.0	0.0	0.0	0.78378	0.28507	1.45564	0.00618	0.0	0.00101
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.12651	0.05397	0.1486	0.13723	0.16261	0.44612	0.71592	0.86915	0.00312	0.65282	0.0	0.10325	0.0	0.00927	1.07404	0.27971
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae	0.09361	0.01203	0.35555	1.61515	1.55197	0.19652	0.13842	0.07658	0.01307	0.0	0.39715	0.15021	0.39343	0.08972	0.0	0.92137
k__Bacteria;p__Firmicutes;c__CFGB1851;o__OFGB1851;f__FGB1851	0.06533	0.05606	0.00138	0.02255	0.05033	2.75471	0.0	0.27338	0.00128	0.61371	0.85875	1.06019	0.0	1.49676	0.0	0.06092
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375;f__FGB76375	0.03347	0.0	0.39871	2.39382	2.75799	0.03627	2.60554	0.75584	17.26219	1.06212	2.75518	0.73592	13.29758	0.15169	0.00935	0.0
k__Bacteria;p__Firmicutes;c__CFGB75522;o__OFGB75522;f__FGB75522	0.00951	0.0	1.62434	0.02045	0.0161	0.00895	0.83541	0.1585	2.14434	0.00168	0.1	0.0	1.79626	0.00726	0.0054	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified	0.00855	0.0253	0.33971	0.08636	0.0675	0.33885	0.0542	0.2098	2.09855	0.0	0.10841	0.04535	0.28509	0.00589	0.09507	0.00808
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae	0.00503	0.0	0.01033	0.0	0.0	0.0	0.0	0.00262	0.0	0.0	0.0	0.0	0.8876	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	0.00428	0.0	0.0	0.00023	0.0	0.0	0.01083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae	0.00183	0.0	0.02477	0.08285	0.11191	0.0	0.02091	0.03504	0.0	0.0	0.0	0.00294	0.0	0.0	0.0	0.00387
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0	0.0	0.33834	0.18213	0.03477	0.02108	0.91762	0.54668	0.49563	0.15509	0.01044	0.0	0.20567	0.0	0.33446	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.0	0.13835	0.76725	0.28002	0.0	0.05325	0.04123	0.0	0.0	0.0	0.0	0.0	0.00969	0.0	1.17089
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	0.0	0.13819	0.09987	0.31602	0.0	0.0	0.17307	0.0	0.0	0.0	0.0	0.0	0.0	0.02727	0.03338
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868;f__FGB24868	0.0	0.0	0.0825	0.26033	0.05342	0.01342	0.08192	0.26093	0.91567	0.09355	0.09414	0.0	0.05073	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB8822;o__OFGB8822;f__FGB8822	0.0	0.0	0.05452	0.03501	0.081	0.01632	0.01911	0.00304	0.33885	0.0	0.0	0.0	1.18217	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified	0.0	0.0	0.05257	0.27612	0.4454	0.01275	0.06857	0.03888	0.05438	0.01924	0.0	0.0072	0.07647	0.0	0.05917	0.0
k__Bacteria;p__Firmicutes;c__CFGB28775;o__OFGB28775;f__FGB28775	0.0	0.0	0.02301	0.00275	0.01541	0.10269	0.14426	0.00456	0.02877	0.0	0.0	0.0	0.0363	0.0	0.0	0.04101
k__Bacteria;p__Firmicutes;c__CFGB43318;o__OFGB43318;f__FGB43318	0.0	0.0	0.02131	0.10283	0.14409	0.03637	0.42007	0.03898	0.08277	0.0	0.0	0.0	0.0478	0.0	0.01052	0.01927
k__Bacteria;p__Firmicutes;c__CFGB1473;o__OFGB1473;f__FGB1473	0.0	0.0	0.01229	0.0	0.0	0.02351	0.0	0.0	0.0273	0.01492	0.05265	0.0	0.00709	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.0	0.0	0.01007	1.39852	0.44365	0.0	0.09804	0.04407	0.0	0.0	0.0	0.0	0.00081	0.0164	0.00103	3.5768
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0	0.0	0.00239	0.00893	0.0	0.0	0.0	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.38463
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.0	0.0	0.0	2.45229	0.89583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB29473;o__OFGB29473;f__FGB29473	0.0	0.0	0.0	1.03279	1.21413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0.0	0.0	0.0	0.96578	0.75994	0.0	0.00802	0.00672	1.01649	0.0	0.04023	0.0	0.20163	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__CFGB76760;o__OFGB76760;f__FGB76760	0.0	0.0	0.0	0.94032	0.97884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48227
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070;f__FGB3070	0.0	0.0	0.0	0.57349	1.08708	0.0	0.04879	0.0	0.0	0.0	0.0	0.0	1.78193	0.0	0.0	0.01757
k__Bacteria;p__Firmicutes;c__CFGB72809;o__OFGB72809;f__FGB72809	0.0	0.0	0.0	0.46131	0.53998	0.0	0.0837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06104
k__Bacteria;p__Firmicutes;c__CFGB76688;o__OFGB76688;f__FGB76688	0.0	0.0	0.0	0.29173	0.16195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75721;o__OFGB75721;f__FGB75721	0.0	0.0	0.0	0.25737	0.21235	0.0	0.0	0.03483	0.0086	0.0	0.0	0.0	0.0	0.0	0.0	0.01888
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628;f__FGB628	0.0	0.0	0.0	0.25606	0.02321	0.0	0.0	0.0	0.14721	0.0	0.0	0.0	0.12185	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	0.0	0.0	0.0	0.16153	0.08789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07681	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB635;o__OFGB635;f__FGB635	0.0	0.0	0.0	0.15154	0.0479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified	0.0	0.0	0.0	0.08965	0.09383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0	0.0	0.0	0.08134	0.0	0.0	0.01841	0.0	0.02723	0.0	0.0	0.0	0.0	0.0	0.0	0.0
