clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB3602;s__GGB3602_SGB66069	1.32607	0.03681	2.23851	1.3258	1.66899	2.62382	5.25262	2.42471	0.9144	0.33614	0.0	0.36979	1.71103	0.11501	0.12186	2.03853
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_lutetiensis	1.21852	10.16161	0.52289	0.0	0.0	0.0	0.0	0.20405	1.40714	11.0426	8.05633	0.02232	0.06774	0.0279	1.12965	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB47956;s__GGB47956_SGB65946	1.19617	0.0	0.0	2.12992	2.10986	0.0	0.0	0.01432	0.0	0.0	0.0	0.0	0.0	0.0	0.00678	7.39384
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas_umbilicata	1.12529	0.03894	2.90209	0.2758	0.32365	0.77032	0.82276	1.64289	2.84401	3.61624	0.31288	0.32659	0.07955	0.14462	1.87306	0.0403
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_producta	0.92885	0.05845	0.96812	0.00382	0.0266	1.94245	0.77069	2.1936	0.746	0.78826	0.40278	0.72777	0.53391	0.53368	5.02398	0.79146
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas_funiformis	0.85097	0.02199	0.92377	0.0	0.0	0.12212	0.48688	0.46799	4.77344	1.00392	0.76336	0.18861	3.8531	0.07391	0.1203	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__GGB72452;s__GGB72452_SGB4052	0.78157	0.0865	0.24178	0.86545	1.46368	1.1408	1.02857	0.46235	1.19645	0.0	0.17633	0.38598	1.47983	0.15126	0.0	0.44698
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9399;s__GGB9399_SGB14744	0.47591	0.0	0.03892	0.15974	0.30331	0.17835	0.26351	0.23146	1.03976	0.0	0.0	0.0	0.01086	0.0	0.00399	0.30309
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_pullorum	0.4511	0.00312	0.0	0.0	0.0	0.0	0.02857	0.0	0.0	0.0	0.09832	0.00549	0.06237	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_argi	0.4501	0.0	2.53954	0.0	0.0	2.96781	0.08885	0.49902	1.41163	0.05128	0.01881	0.27645	1.06434	0.16847	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp_BA40	0.44952	0.06435	0.01008	0.06959	0.14598	1.35231	0.43559	0.66667	2.07417	0.0441	0.01572	0.28269	0.71027	0.1666	0.0	0.0486
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri_clade_A	0.42479	0.036	0.42431	0.12387	0.02209	1.25323	7.01625	0.17922	2.22412	0.41995	2.3369	0.21238	3.43564	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB24731;o__OFGB24731;f__FGB24731;g__GGB51725;s__GGB51725_SGB72140	0.3803	0.0	0.0	25.11278	19.68525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.79472
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB50802;s__GGB50802_SGB106454	0.36293	0.0	1.7768	0.0	0.0	1.32495	0.0	0.73541	0.20947	0.20304	0.07589	0.0	0.0	0.0	0.38058	0.03601
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_acidophilus	0.35577	13.86204	0.00375	0.0	0.0	0.0	0.0	0.00491	0.0	0.13694	0.04492	7.37261	0.0	7.08973	0.09124	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9739;s__GGB9739_SGB15313	0.35211	0.0	0.12614	0.11856	0.08297	1.26355	3.37228	0.62116	1.15543	2.36691	0.27896	0.1729	0.73852	0.01506	0.57955	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9400;s__GGB9400_SGB14745	0.34318	0.1142	0.04078	0.0	0.0	0.7939	0.38763	0.22975	1.16097	0.02718	0.12591	0.22164	0.07776	0.17455	0.16898	0.34692
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_aerofaciens	0.31587	0.87414	0.15351	0.0	0.0	0.25097	0.0	0.0	0.36047	0.02779	4.53842	0.37418	1.77549	0.33998	0.00593	0.00328
k__Bacteria;p__Firmicutes;c__CFGB2102;o__OFGB2102;f__FGB2102;g__GGB5973;s__GGB5973_SGB4591	0.29671	0.0	0.09105	1.00298	1.29259	1.17402	0.86594	1.6471	0.18699	0.30131	0.0	0.14179	0.32191	0.06739	0.32887	0.22133
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Blautia;s__Blautia_hansenii	0.28996	0.82641	2.12432	0.87841	1.37885	2.41362	0.84051	3.13083	2.14762	3.19009	0.7369	0.72481	1.02629	0.34577	1.05643	0.36531
