clade_name	C1	C2	C3	C4	C5	C6	C7	C8	P1	P2	P3	P4	P5	P6	P7	P8
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9399	0.47591	0.0	0.03892	0.15974	0.30331	0.17835	0.26351	0.23146	1.03976	0.0	0.0	0.0	0.01086	0.0	0.00399	0.30309
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.42479	0.036	0.42431	0.12387	0.02209	1.25323	7.01625	0.17922	2.22412	0.41995	2.3369	0.21238	3.43564	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__GGB9400	0.39265	0.1163	0.04078	0.0	0.0	1.54316	0.38763	0.22975	1.16097	0.02718	0.12591	0.22164	0.07776	0.17455	0.16898	0.34692
k__Bacteria;p__Firmicutes;c__CFGB24731;o__OFGB24731;f__FGB24731;g__GGB51725	0.3803	0.0	0.0	25.11278	19.68525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.79472
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__GGB50802	0.36293	0.0	1.7768	0.0	0.0	1.32495	0.0	0.73541	0.20947	0.20304	0.07589	0.0	0.0	0.0	0.38058	0.03601
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__GGB9739	0.35211	0.0	0.12614	0.11856	0.08297	1.26355	3.37228	0.62116	1.15543	2.36691	0.27896	0.1729	0.73852	0.01506	0.57955	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__GGB51102	0.28428	0.0	0.0	2.1901	2.9299	0.58262	2.27119	0.22644	2.3954	0.0	0.0	0.0	5.39383	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified	0.2696	0.0	0.10599	0.24661	0.2792	0.4013	0.00692	1.10374	0.20283	0.12391	0.17685	0.03052	0.82598	0.0	0.27556	0.02439
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Allisonella	0.26495	0.0	0.23861	0.0	0.0	0.1143	0.0	0.0	0.1085	0.03552	1.08383	0.06912	0.40049	0.0	0.32824	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.25987	0.01363	0.10007	0.0	0.0	0.72602	0.05265	0.28589	1.88833	0.45128	0.0	0.14103	0.08225	0.08824	1.09385	0.00244
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus	0.24335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08449	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB79908	0.22591	0.0	0.30583	1.50875	2.16019	2.13035	1.59582	9.18106	0.38378	2.41743	0.0	0.24107	0.04029	0.1975	5.24406	1.86167
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus	0.19293	0.0	0.06259	0.07377	0.13434	0.36282	0.14677	0.27294	0.19661	0.0	0.0	0.03031	0.22333	0.00176	0.04025	0.19739
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.18546	0.0	0.0	0.0	0.0	0.0	0.03024	0.0	0.0161	0.00106	0.00323	0.0	1.26057	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium	0.16607	0.03818	0.14632	0.48911	0.57906	0.04497	0.03163	3.16779	1.12096	0.37828	0.0	0.02786	3.01989	0.0	0.08812	0.0
k__Bacteria;p__Firmicutes;c__CFGB75783;o__OFGB75783;f__FGB75783;g__GGB3579	0.16556	0.0	0.0	0.18742	0.30109	0.29225	0.03968	1.60543	0.06766	0.16599	0.0	0.00732	0.00198	0.00035	0.79313	1.02115
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera	0.16441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82124	0.02047	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Formosa	0.14753	0.0	1.14673	0.0	0.0	0.31404	0.0	0.0	0.0	0.0	0.78378	0.28507	1.45564	0.00618	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Olsenella	0.13685	0.0	0.0	0.54039	0.65552	0.0	0.04903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38978
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.12651	0.05397	0.1486	0.13723	0.16261	0.44612	0.71592	0.86915	0.00312	0.65282	0.0	0.10325	0.0	0.00927	1.07404	0.27971
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Cryobacterium	0.09837	0.19991	0.15751	0.00059	0.01222	1.25691	2.84087	0.33014	0.36586	0.48945	0.24571	0.2228	1.03519	0.18283	1.87662	0.02231
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Slackia	0.07915	0.0	0.35555	0.0	0.0	0.11938	0.13842	0.02064	0.01307	0.0	0.37204	0.00806	0.38941	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB1851;o__OFGB1851;f__FGB1851;g__GGB4916	0.06533	0.05606	0.00138	0.02255	0.05033	2.75471	0.0	0.27338	0.00128	0.61371	0.85875	1.06019	0.0	1.49676	0.0	0.06092
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB79912	0.05122	0.0	1.82222	0.0	0.0	0.0	0.30705	0.2263	0.0	1.28394	0.00665	0.07069	0.0	0.00428	1.44045	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter	0.04238	0.0	0.0	0.09656	0.13117	0.1059	0.40631	0.00124	0.20636	0.0	0.0	0.04695	0.45222	0.0	0.02309	0.24076
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Ruminococcus	0.0422	0.0	0.0	3.9769	3.72228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.58544
k__Bacteria;p__Fusobacteria;c__CFGB76375;o__OFGB76375;f__FGB76375;g__GGB4386	0.03347	0.0	0.39871	2.39382	2.75799	0.03627	2.60554	0.75584	17.26219	1.06212	2.75518	0.73592	13.29758	0.15169	0.00935	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.03163	7.12613	0.0	0.0	0.0	0.0	0.57836	0.0	0.0523	0.0	0.0	0.11854	0.0	0.07587	0.0	0.15123
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__GGB25053	0.02938	0.0	0.4824	0.12169	0.16807	1.3669	0.17168	0.66261	0.03544	0.0	0.0	0.0	0.58997	0.0	0.0	0.92549
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__GGB47954	0.01997	0.0	0.0	4.40814	3.98806	0.0	0.01666	0.01481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11559
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Amedibacillus	0.0172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10928	0.0	0.0	0.0	0.0	0.17245	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__GGB9414	0.01447	0.01203	0.0	0.0	0.0	0.07714	0.0	0.05594	0.0	0.0	0.02511	0.14215	0.00402	0.08972	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Fusicatenibacter	0.01068	0.0	0.0	0.0	0.0	0.3463	0.0	0.0	0.0	0.0	0.0	0.16313	0.06306	0.00441	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB75522;o__OFGB75522;f__FGB75522;g__GGB4249	0.00951	0.0	1.62434	0.02045	0.0161	0.00895	0.83541	0.1585	2.14434	0.00168	0.1	0.0	1.79626	0.00726	0.0054	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelotrichaceae_unclassified	0.00941	0.0	0.0	0.08665	0.08961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0356
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__GGB57353	0.00909	0.0	0.33742	0.67774	0.98304	0.62873	1.16035	2.11181	0.21398	0.0062	0.0	0.07547	0.24969	0.01893	0.03457	1.6758
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Eubacteriales_unclassified	0.00855	0.0253	0.0	0.0319	0.04584	0.28983	0.03694	0.0	0.0	0.0	0.02747	0.04353	0.05204	0.00589	0.09507	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Succinivibrionaceae;g__GGB48326	0.00503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87579	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Tessaracoccus	0.00428	0.0	0.0	0.00023	0.0	0.0	0.00133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.00183	0.0	0.02477	0.08285	0.11191	0.0	0.02091	0.03504	0.0	0.0	0.0	0.00294	0.0	0.0	0.0	0.00387
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc	0.0	3.91498	0.0	0.0	0.0	0.0	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium	0.0	0.21418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella	0.0	0.01284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Gemmiger	0.0	0.0	0.33971	0.05446	0.02166	0.04901	0.01726	0.2098	2.09855	0.0	0.08094	0.00181	0.23305	0.0	0.0	0.00808
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	0.0	0.0	0.29645	0.18213	0.03477	0.01628	0.91762	0.42514	0.41333	0.15509	0.00793	0.0	0.11386	0.0	0.33446	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__GGB1354	0.0	0.0	0.14284	0.3681	0.06122	0.18117	0.38729	0.62661	0.73136	0.68484	0.02048	0.0	0.01746	0.0	0.66224	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	0.0	0.0	0.10465	0.0	0.0	0.0	0.0	0.02488	0.0	0.0	0.0	0.0	0.0	0.00969	0.0	0.04197
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	0.0	0.08469	0.0	0.01373	0.0	0.0	0.03735	0.0	0.0	0.0	0.0	0.0	0.0	0.02459	0.0083
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868;f__FGB24868;g__GGB44117	0.0	0.0	0.0825	0.26033	0.05342	0.01342	0.08192	0.26093	0.91567	0.09355	0.09414	0.0	0.05073	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Psychrobacter	0.0	0.0	0.0722	2.17245	1.44772	0.0	0.01443	0.17513	0.0	0.0	0.0	0.0	0.00548	0.01008	0.24326	2.35849
k__Bacteria;p__Firmicutes;c__CFGB8822;o__OFGB8822;f__FGB8822;g__GGB42994	0.0	0.0	0.05452	0.03501	0.081	0.01632	0.01911	0.00304	0.33885	0.0	0.0	0.0	1.18217	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Jeotgalicoccus	0.0	0.0	0.05351	0.09987	0.30229	0.0	0.0	0.10413	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.02508
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__GGB3680	0.0	0.0	0.05257	0.27612	0.4454	0.01275	0.06857	0.03888	0.05438	0.01924	0.0	0.0072	0.07647	0.0	0.05917	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__GGB47738	0.0	0.0	0.04189	0.0	0.0	0.00479	0.0	0.12154	0.07562	0.0	0.00251	0.0	0.09181	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Ruoffia	0.0	0.0	0.03369	0.56598	0.2317	0.0	0.04475	0.01635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14237
