#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	0.92204	0.0	0.02403	0.0	3.13964	1.29702	15.2473	4.02997	0.0	0.0	0.0	1.20564	8.59598	3.31552	0.12133	0.0	0.00669	0.0091	0.0	0.0	3.787	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.31018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.29221	0.0	0.0	0.0	0.11677	0.13851	0.0	0.92677	0.0	0.02047	0.0336	4.59643	3.62168	7.87692	0.09249	0.0	5.49765	0.0	0.0	0.26957	0.0	0.03622	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	0.2199	0.47646	0.0	0.26547	0.64264	0.41223	1.3823	0.07857	0.08384	0.02003	0.0	0.01034	0.14944	0.04042	0.49644	0.90708	0.60798	0.68619	0.73069	0.0	0.11822	0.0	0.4164
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.08778	0.27146	0.0	0.00377	0.0	0.30155	0.00476	0.0	0.02681	0.09086	0.0969	0.0	0.83063	0.2272	0.01179	0.0	0.0	0.0	0.22008	0.0	0.0	0.0	0.23579
k__Bacteria|p__Firmicutes|c__CFGB1437|o__OFGB1437|f__FGB1437	0.06158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	0.06012	1.27886	5.88907	2.20857	0.04195	1.10078	2.60829	0.0	9.36558	15.514	0.48833	0.01413	0.0	2.66885	15.00396	1.22888	8.79132	3.46209	0.29356	21.1313	5.05323	0.0	3.63068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.03492	1.80039	2.69477	22.51916	9.68062	2.65211	11.08821	35.25005	17.00733	0.1089	5.09343	66.50828	9.86532	2.2177	10.07621	0.12646	0.0	0.90688	1.45784	1.36285	1.57086	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.01552	0.11021	17.36583	7.12783	0.21372	2.04069	2.00636	0.0	1.56447	0.46389	0.55662	0.00198	0.0	0.0	0.09182	17.64563	19.26338	25.46623	1.41737	0.97902	12.84878	0.0	5.78864
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.00848	0.0	0.0	0.73675	0.45596	0.63666	0.06093	0.0	3.02986	0.2361	0.14298	0.0	0.0	0.0977	2.20001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
