clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibacillus	0.39749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06826	0.05008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48712	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerostipes	0.37851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04747	0.0	0.0119	0.0	0.0	0.48523	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium	0.31018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.29221	0.0	0.0	0.0	0.11677	0.13851	0.0	0.00559	0.0	0.02047	0.0336	4.59643	1.05503	7.87692	0.09249	0.0	5.49765	0.0	0.0	0.26957	0.0	0.03622	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes_unclassified;o__Firmicutes_unclassified;f__Firmicutes_unclassified;g__GGB3680	0.2199	0.47646	0.0	0.26547	0.64264	0.41223	1.3823	0.07857	0.08384	0.02003	0.0	0.01034	0.14944	0.04042	0.49644	0.90708	0.60798	0.68619	0.73069	0.0	0.11822	0.0	0.4164
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	0.19942	0.0	0.02403	0.0	3.13964	1.29702	15.2473	4.02997	0.0	0.0	0.0	1.20564	8.59598	3.31552	0.12133	0.0	0.00669	0.0091	0.0	0.0	3.787	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Paeniclostridium	0.15102	0.0	0.0	0.0	0.0	0.0	0.0	0.34275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	0.13058	2.23421	0.0	2.2143	3.43183	2.29734	5.48277	1.75158	1.57986	0.46336	2.66202	0.68454	0.34187	1.2417	1.31169	0.0	0.0	0.0	1.63248	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia	0.08711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridiaceae_unclassified	0.06926	0.59637	2.45914	0.19696	0.11811	0.34922	0.34128	0.0	0.16925	1.03347	0.0	0.00558	0.0	0.00055	0.60052	0.98627	0.0	0.63776	1.07035	0.62612	2.4315	0.24393	0.86356
k__Bacteria;p__Firmicutes;c__CFGB1437;o__OFGB1437;f__FGB1437;g__GGB51420	0.06158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas	0.06012	1.27886	5.88907	2.20857	0.04195	1.10078	2.60829	0.0	9.36558	15.514	0.48833	0.01413	0.0	2.66885	15.00396	1.22888	8.79132	3.46209	0.29356	21.1313	5.05323	0.0	3.63068
