clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	0.00177	0.0	0.00182	0.01989	0.0	0.11316	0.05535	0.0	0.0	0.00839	0.00312	0.0	0.0	0.0	0.0	0.0	0.0	0.00598	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	0.0	0.0	0.33173	0.89642	1.35554	0.08828	0.09787	0.0	0.0	0.08411	0.48689	0.0	0.10442	0.02948	0.02359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__CFGB76748;o__OFGB76748	0.0	0.0	0.03959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22665	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__CFGB76370;o__OFGB76370	0.0	0.0	0.0	2.79531	0.0941	0.28561	0.12165	0.0	3.5854	0.00898	0.0	0.0	0.02659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	0.0	0.0	0.0	1.95116	0.12255	1.36496	0.41399	0.0	0.0	0.0	0.15543	0.0	0.03465	0.0	0.09507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB24868;o__OFGB24868	0.0	0.0	0.0	1.35559	0.09852	0.14977	0.0	0.0	0.33029	0.00394	0.01391	0.0	0.0	0.0	0.20833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Moraxellales	0.0	0.0	0.0	1.29926	7.51814	1.78425	2.03247	0.0	0.38645	0.0	0.33603	6.65347	4.88645	0.49612	2.36495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB76132;o__OFGB76132	0.0	0.0	0.0	1.26494	0.15929	1.47328	0.11854	0.0	4.46517	0.0	0.20836	0.0	0.01819	0.0	0.58106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB3070;o__OFGB3070	0.0	0.0	0.0	1.25327	1.39332	0.50451	0.91883	0.0	0.05745	0.0	0.0	0.0	0.0	0.03393	1.37247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__CFGB628;o__OFGB628	0.0	0.0	0.0	0.76156	0.00325	0.44924	0.08606	0.0	0.03767	0.0	0.0	0.0	0.0	0.0	0.05914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
