clade_name	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample1	Sample20	Sample21	Sample22	Sample23	Sample24	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9
k__Bacteria;p__Firmicutes;c__CFGB76331;o__OFGB76331;f__FGB76331	0.00682	0.8131	0.0	0.08436	0.77415	0.0	0.0	0.0	0.47611	0.0	2.56405	0.11629	0.17757	0.42167	0.04015	0.0	1.18769	0.0	1.74121	0.0	0.0	0.0	1.43469
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae	0.0	0.76068	0.0256	6.08611	0.724	5.90459	1.0157	0.03393	2.20097	1.81243	1.70926	0.0	0.14987	1.00398	11.01016	0.0	1.21811	0.0	2.88443	0.0	0.2874	0.0	1.14976
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	0.0	0.63485	0.0	0.20547	0.13568	0.13179	0.24562	0.43337	0.08787	0.0	0.14929	0.53294	0.04423	0.0	0.18225	0.0	1.95015	0.0	1.26361	0.0	0.0	0.0	0.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	0.0	0.47512	0.0	2.78371	0.80933	0.18692	0.37283	0.0	9.41896	0.0	0.03901	0.0	0.03192	0.00133	0.32554	0.0	1.14838	0.0	0.0195	0.00758	0.0	0.00594	0.0
k__Bacteria;p__Firmicutes;c__CFGB8822;o__OFGB8822;f__FGB8822	0.0	0.43101	0.60874	0.40916	0.35441	0.18717	0.61247	0.0	0.55431	0.00633	0.28336	0.03449	0.00258	0.06675	0.38618	3.72571	0.38551	2.65563	0.41287	0.0	0.26407	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB76352;o__OFGB76352;f__FGB76352	0.0	0.22023	0.0	0.0	0.58505	0.77524	0.07944	0.01898	0.0	0.0	0.0	0.0	0.03096	0.0	0.7604	0.6867	0.0	0.94612	0.40772	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae	0.0	0.17707	0.0686	0.03476	0.0	0.0117	0.01724	0.0	0.0	0.16538	0.00373	0.0	0.0	0.0	0.01166	0.0	0.0	0.0	1.32261	0.0	1.2378	0.0	0.0
k__Bacteria;p__Firmicutes;c__CFGB28775;o__OFGB28775;f__FGB28775	0.0	0.16497	0.0	0.07672	0.13199	0.0	0.01926	0.01082	0.02743	0.05114	0.0	0.02312	0.08559	0.00697	0.07252	0.56073	0.0	0.36348	0.27578	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0.0	0.10446	0.12078	0.77181	0.0	0.13285	0.18246	0.0	1.1187	0.09268	0.0	0.0	0.0	0.0	0.0	0.0	0.31633	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae	0.0	0.03091	0.0	0.04917	0.0059	0.01205	0.0	0.0044	0.0636	0.0	0.0	0.00363	0.0	0.0	0.23386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07036
